experience_years,course_grades,projects_completed,extracurriculars,job_offer,C++,Data Analysis,Java,Machine Learning,Python,SQL
3,75.26,9,0,1,0,3,0,0,3,3
4,74.25,6,2,1,0,0,1,0,0,0
2,74.89,4,3,0,0,1,0,0,0,0
4,72.73,2,3,1,0,1,0,0,0,0
4,84.85,1,4,0,3,0,0,3,3,0
1,66.57,7,3,1,0,0,0,0,1,0
2,93.84,1,3,0,0,0,1,0,0,0
2,92.5,7,2,0,0,0,0,1,0,0
2,79.06,4,1,0,0,0,3,3,3,0
4,94.11,8,3,1,3,3,0,3,0,0
3,69.89,3,1,0,1,0,0,0,0,0
2,60.7,7,0,0,0,0,3,0,3,3
5,84.77,6,3,0,3,0,0,3,0,3
4,78.32,7,0,0,0,0,1,0,0,0
1,82.69,4,0,1,0,2,0,0,2,0
3,95.97,1,4,1,0,0,0,0,2,2
5,98.8,6,1,0,0,0,0,2,0,2
5,85.38,2,1,1,0,1,0,0,0,0
1,90.56,9,4,1,0,0,0,2,2,0
3,63.35,9,2,0,0,0,0,2,2,0
4,66.43,9,4,0,0,2,0,2,0,0
0,89.33,9,4,1,0,0,2,2,0,0
3,77.25,1,4,1,0,3,3,0,3,0
1,77.84,2,0,1,0,0,2,0,2,0
5,72.34,3,1,1,1,0,0,0,0,0
4,84.29,9,2,1,2,0,0,0,0,2
3,67.41,6,3,1,0,0,0,0,0,1
0,85.08,9,3,0,0,0,2,0,0,2
0,66.95,0,3,1,0,3,3,0,3,0
2,62.55,5,2,0,0,3,3,3,0,0
2,73.21,5,3,0,2,0,0,0,0,2
1,69.25,7,2,1,0,3,3,3,0,0
3,95.56,1,3,1,0,0,3,0,3,3
3,62.2,1,3,0,0,0,0,0,0,1
5,67.06,0,2,1,0,0,0,0,2,2
5,81.95,2,1,1,0,0,0,1,0,0
5,79.24,6,2,0,3,0,3,0,0,3
2,61.83,7,2,1,2,2,0,0,0,0
3,60.29,6,4,0,0,0,0,0,0,1
3,99.52,8,0,0,0,0,1,0,0,0
0,86.35,7,0,1,0,3,0,3,0,3
2,74.62,7,1,0,3,3,0,3,0,0
4,78.82,1,1,0,0,2,2,0,0,0
2,70.66,0,1,0,3,0,0,3,3,0
4,73.79,5,0,1,0,0,1,0,0,0
0,85.96,6,1,1,3,0,3,0,3,0
1,95.31,5,1,1,2,0,0,2,0,0
3,67.37,6,2,1,0,0,0,2,0,2
0,93.61,7,2,0,0,3,0,0,3,3
